model,recall,precision,roc_auc
logistic_regression,0.7235431235431236,0.08275567878852512,0.8705583677258647
random_forest,0.965967365967366,0.12751553941781033,0.9950369644181132
xgboost,0.9724941724941725,0.13499870566916905,0.9969288385084647
lightgbm,0.9776223776223776,0.12441412043903886,0.9969081945258572
